SETTORE,SOTTOCATEGORIA,AZIENDA,PROVINCIA,SITO,TELEFONO,MAIL_GENERICA,NOME_DECISORE,RUOLO,LINKEDIN_DECISORE,SEGNALI_CRM,PRIORITA,FONTE_VERIFICA,DATA_INSERIMENTO
Farmaceutico/Biomedicale,Assistenza tecnica biomedicale,SIC Elettromedicali,Padova,www.sic-ele.it,\+39 049 8809551,info@sic-ele.it,n.d.,n.d.,n.d.,"Attiva dal 1993, base clienti B2B nel Triveneto",MEDIA,https://sic-ele.it/,seed-import
Farmaceutico/Biomedicale,Produzione/distribuzione dispositivi medici monouso (DPI),STS Medical Division / Mascherine Venete,Padova,www.stsmedicaldivision.it,\+39 049 6885075,info@stsmedicaldivision.it,n.d.,n.d.,n.d.,Diversificazione da trasporti a produzione dispositivi medici monouso,MEDIA,https://www.stsmedicaldivision.it/en/about-us/,seed-import
Farmaceutico/Biomedicale,Distribuzione dispositivi medici alta tecnologia,Wik Medical S.r.l. (WikMedical),Padova,www.wikmedical.com,\+39 342 7465492,n.d.,n.d.,n.d.,n.d.,Oltre 20 anni di attivita in distribuzione dispositivi medici,MEDIA,https://www.wikmedical.com/it/azienda,seed-import
Macchine agricole,Produzione e commercio attrezzature agricole,Dante Macchine Agricole S.r.l.,Padova,https://dantemacchine.it/,\+39 049 5344011,n.d.,n.d.,n.d.,n.d.,Presenza su portali di settore specializzati,MEDIA,https://www.mondomacchina.it/it/dante-macchine-innovazione-qualita-prestazioni-c2030,seed-import
Macchine agricole,Macchine per orticoltura e preparazione terreno,Hortech S.r.l.,Padova,https://www.hortech.it/,\+39 049 9515369,n.d.,n.d.,n.d.,n.d.,Doppia sede (PD e FE),MEDIA,https://www.hortech.it/azienda/,seed-import
Macchine agricole,Produzione attrezzature per lavorazione terreno,Maschio Gaspardo S.p.A.,Padova,https://www.maschiogaspardo.com/,\+39 049 9289810,n.d.,n.d.,n.d.,n.d.,Multinazionale con stabilimenti a Campodarsego e Cadoneghe,MEDIA,https://it.wikipedia.org/wiki/Maschio\_Gaspardo,seed-import
Macchine agricole,"Vendita, ricambi e riparazione macchine agricole",Sigolotto Macchine Agricole,Padova,https://www.sigolotto.it/,\+39 049 5380163,info@sigolotto.it,n.d.,n.d.,n.d.,Copertura commerciale su tre province,MEDIA,https://www.sigolotto.it/,seed-import
Macchine industriali/Automazione,Automazione e software per l'industria,AS Industriale Srl,Padova,https://www.asindustriale.it/,049 4907513,info@asindustriale.it,n.d.,n.d.,n.d.,System integrator specializzato in automazione/software industriale,MEDIA,https://www.asindustriale.it/,seed-import
Macchine industriali/Automazione,Quadri elettrici industriali e software per l'automazione,B-TECH Srl,Padova,https://www.b-techgroup.it/,049 644209,info@b-techgroup.it,n.d.,n.d.,n.d.,"Azienda ""Group"" con pagina team dedicata",MEDIA,https://www.b-techgroup.it/,seed-import
Macchine industriali/Automazione,Automazione industriale/quadri elettrici,Boscaro Pasqualino Srl,Padova,https://www.boscaropasqualino.com/,049 760842,info@boscaropasqualino.it,n.d.,n.d.,n.d.,"Azienda dal 1963, leader storico a Padova in impianti elettrici/automazione",MEDIA,https://www.boscaropasqualino.com/azienda/,seed-import
Macchine industriali/Automazione,Costruzione macchine automatiche/automazione industriale,Costruzioni Fasolo,Padova,https://costruzionifasolo.com/,049 9201533,info@costruzionifasolo.com,n.d.,n.d.,n.d.,Opera nell'automazione industriale da oltre 20 anni,MEDIA,https://costruzionifasolo.com/,seed-import
Macchine industriali/Automazione,Quadri elettrici industriali/componenti automazione,ECAT Srl,Padova,https://www.ecatsrl.it/,049 7625133,info@ecatsrl.it,n.d.,n.d.,n.d.,"Due sedi operative in provincia di Padova, clientela B2B industriale ricorrente",MEDIA,https://www.ecatsrl.it/azienda/,seed-import
Macchine industriali/Automazione,Quadri elettrici industriali/progettazione,Meggel Group Srl,Padova,https://www.meggel.it/,049 9720591,info@meggelgroup.it,n.d.,n.d.,n.d.,"Azienda ""Group"" con progettazione e cablaggio quadri elettrici per clienti industriali ricorrenti",MEDIA,https://www.meggel.it/contatti/,seed-import
Macchine industriali/Automazione,Meccanica di precisione/impianti industriali e robotizzati,NuovaMLM,Padova,https://en.nuovamlm.com/,049 8987207,amministrazione@nuovamlm.it,n.d.,n.d.,n.d.,"Opera su Oil\&Gas, impianti industriali/robotizzati, clientela su mercati internazionali",MEDIA,https://en.nuovamlm.com/azienda,seed-import
Macchine industriali/Automazione,"Distribuzione e consulenza automazione industriale (pneumatica, oleodinamica, vuoto)",Panar Automazioni Srl,Padova,https://www.panar.com/,049 614155,tecnico@panar.com,Paolo Nardin,Fondatore (1969),n.d.,"Azienda storica dal 1969, consulenza tecnica multimarca a clientela industriale ricorrente",MEDIA,https://www.panar.com/contatti,seed-import
Macchine industriali/Automazione,Impiantistica industriale/automazione e sicurezza,Ranzato Impianti Srl,Padova,https://www.ranzatoimpianti.it/,049 5848686,info@ranzatoimpianti.it,n.d.,n.d.,n.d.,"Più divisioni coordinate (impianti elettrici, energia, termoidraulica, automazione e sicurezza, assistenza)",MEDIA,https://www.ranzatoimpianti.it/en/contacts.html,seed-import
Macchine industriali/Automazione,Macchinari per imballo industriale,TPI Service Srl,Padova,https://www.tpiservicesrl.it/,049 9075519,info@tpiservicesrl.it,n.d.,n.d.,n.d.,Fornitore di macchinari e prodotti per imballaggio industriale a clientela B2B ricorrente,MEDIA,https://www.tpiservicesrl.it/azienda/,seed-import
Macchine industriali/Automazione,Sistemi di automazione industriale/costruzione macchine speciali,WAER (di Martini Walter),Padova,https://www.waer.it/,049 9336572,info@waer.it,Martini Walter,Titolare,n.d.,Ditta individuale attiva in automazione industriale e costruzione macchine speciali,MEDIA,https://www.waer.it/contatti/,seed-import
Servizi B2B/Consulenza,Agenzia di comunicazione B2B,Doy Design,Padova,https://www.doydesign.it,n.d.,n.d.,n.d.,n.d.,n.d.,Agenzia storica attiva dal 2000,MEDIA,https://www.doydesign.it/agenzia-comunicazione-padova/,seed-import
Servizi B2B/Consulenza,Ingegneria di processo/prodotto/civile,IDRA Srl,Padova,https://idramanagement.com,n.d.,n.d.,n.d.,n.d.,n.d.,Ingegneria multidisciplinare per clienti aziendali,MEDIA,https://idramanagement.com/engineering-2/,seed-import
Servizi B2B/Consulenza,Agenzia marketing e comunicazione,Ipso Factory,Padova,https://www.ipsofactory.it,n.d.,n.d.,n.d.,n.d.,n.d.,"Opera su più province venete (Padova, Vicenza, Venezia)",MEDIA,https://www.ipsofactory.it/agenzia/,seed-import
Servizi B2B/Consulenza,Agenzia di comunicazione/web B2B,Kom,Padova,https://kom.online,n.d.,n.d.,n.d.,n.d.,n.d.,Si definisce attiva da 20 anni,MEDIA,https://kom.online/agenzia-web-padova/,seed-import
Servizi B2B/Consulenza,Studio di ingegneria (progettazione impianti),Munari Group,Padova,https://www.munarigroup.it,n.d.,n.d.,n.d.,n.d.,n.d.,"Progettazione impianti, opera su Padova e Vicenza",MEDIA,https://www.munarigroup.it/engineering/progettazione/,seed-import
Servizi B2B/Consulenza,Ricerca e selezione personale (recruiting per aziende),Nuovi Talenti,Padova,https://www.nuovi-talenti.it,n.d.,n.d.,n.d.,n.d.,n.d.,Servizio di ricerca e selezione del personale rivolto ad aziende,MEDIA,https://www.nuovi-talenti.it/,seed-import
Servizi B2B/Consulenza,Studio di ingegneria (impianti industriali),Riccardi Engineering,Padova,https://www.riccardiengineering.it,n.d.,n.d.,n.d.,n.d.,n.d.,Progettazione impianti industriali su commessa,MEDIA,https://www.riccardiengineering.it/servizi/progettazione-impianti/,seed-import
Servizi B2B/Consulenza,Studio di ingegneria strutturale,SM Ingegneria,Padova,https://www.smingegneria.it,n.d.,n.d.,Claudio Modena,Fondatore (Prof.),n.d.,Nome del fondatore indicato pubblicamente; studio opera anche su Verona,MEDIA,https://www.smingegneria.it/home-en/,seed-import
Servizi B2B/Consulenza,Consulenza direzionale/internazionalizzazione,Studio DCA,Padova,https://www.studiodca.eu,n.d.,n.d.,n.d.,n.d.,n.d.,Consulenza export/internazionalizzazione per PMI,MEDIA,https://www.studiodca.eu/consulenza-internazionalizzazione-padova/,seed-import
Servizi B2B/Consulenza,Organizzazione eventi aziendali B2B (PCO/DMC),Target Motivation,Padova,https://www.targetmotivation.it,n.d.,n.d.,n.d.,n.d.,n.d.,Agenzia PCO/DMC per eventi e convention aziendali,MEDIA,https://www.targetmotivation.it/organizzazione-eventi-padova/,seed-import
Software/IT,Web agency / sviluppo software,AS Web Agency S.r.l. (Stefanato),Padova,www.stefanato.com,\+39 049 685969,info@stefanato.com,n.d.,n.d.,n.d.,"Sviluppo gestionali web-based e booking engine per settori multipli, servizi di perizie forensi informatiche per clientela B2B ricorrente (legale/assicurativa)",MEDIA,https://www.stefanato.com/contatti,seed-import
Software/IT,Software house / sviluppo app,Brainsix S.r.l.,Padova,www.brainsix.it,\+39 0495010965,info@brainsix.it,Alessandro (cognome non pubblicato),Presidente,n.d.,"Team strutturato di 11 persone con ruoli distinti (R\&D, Customer Service, System Integrator, Amministrazione), gestionali multi-settore",MEDIA,https://www.brainsix.it/,seed-import
Software/IT,Agenzia comunicazione digitale / software,Deltacommerce S.r.l.,Padova,www.deltacommerce.com,049 8707363,info@deltacommerce.com,n.d.,n.d.,n.d.,"Offre ""Siti B2B"" e integrazione CRM Hubspot tra i servizi, gruppo multi-sede (Ferrara, Bologna, Padova)",MEDIA,https://www.deltacommerce.com/contatti,seed-import
Software/IT,System integrator / ERP reseller,Global Automation System S.r.l. (GASweb),Padova,www.gasweb.it,049 8705331,info@gasweb.it,n.d.,n.d.,n.d.,"System integrator con ERP Arca Evolution, consulenza e mappatura processi aziendali, due sedi (Padova e Thiene VI)",MEDIA,https://www.gasweb.it/contatti/,seed-import
Software/IT,System integrator / IT retail,IBC Srl,Padova,www.ibc.it,049 8936006,ibc@ibc.it,n.d.,n.d.,n.d.,"Rete di dealer/rivenditori per multinazionale del settore, posizioni aperte per sviluppatore Java e consulente software",MEDIA,https://www.ibc.it/lavora-con-noi/,seed-import
Software/IT,System integrator / consulenza ERP,Know-How S.r.l. (gruppo Lutech),Padova,www.know-how.it,049 8703778,know-how\_info@lutech.it,n.d.,n.d.,n.d.,"Clienti B2B nominati (Breda Energia, Argo Tractors, Groeneveld, Fitesa), Gold Channel Partner Infor, presenza multi-sede internazionale",MEDIA,https://www.know-how.it/en/,seed-import
Software/IT,Software house / sviluppo custom,PROMOinVIDEO Srl (OcaCode),Padova,www.ocacode.it,049 5957210,info@ocacode.it,n.d.,n.d.,n.d.,"Sviluppo software custom/app/web per aziende con clienti ricorrenti citati, percorso ESG in corso con clientela aziendale",MEDIA,https://www.ocacode.it/,seed-import
Software/IT,IT services / TLC / system integrator,Solunet Srl (Solunet Group),Padova,www.solunetgroup.it,049 9455211,info@solunetgroup.it,n.d.,n.d.,n.d.,"Gruppo multi-sede (Veneto, FVG, Lombardia, Emilia-Romagna), offre anche sviluppo software custom e gestionali (Business Cube), ampio portafoglio clienti PMI B2B",MEDIA,https://www.solunetgroup.it/,seed-import
Farmaceutico/Biomedicale,Biotecnologie (spin-off universitario),Onyel Biotech S.r.l.,Padova,https://www.onyelbiotech.com/,n.d.,info@onyelbiotech.com,n.d.,n.d.,n.d.,Sito ufficiale ancora online e aggiornato; nessun annuncio commerciale pubblico rilevato,BASSA,https://www.onyelbiotech.com/,seed-import
Servizi B2B/Consulenza,Consulenza aziendale/controllo di gestione,ASB Consulting,Padova,https://www.asbconsulting.it,n.d.,n.d.,n.d.,n.d.,n.d.,"Consulenza e controllo di gestione per aziende, sito verticale su Padova",BASSA,https://www.asbconsulting.it/consulenza-aziendale/,seed-import
Servizi B2B/Consulenza,Servizi HR per aziende (ricerca e selezione),Bicego HR,Padova,https://www.bicego.it,n.d.,n.d.,n.d.,n.d.,n.d.,Servizi alle aziende su gestione del personale,BASSA,https://www.bicego.it/servizi-alle-aziende/strumenti-di-riduzione-del-rischio-nella-gestione-del-personale/ricerca-e-selezione-del-personale/,seed-import
Servizi B2B/Consulenza,Consulenza direzionale,Fabbrica del Valore,Padova,https://fabbricadelvalore.com,n.d.,n.d.,n.d.,n.d.,n.d.,"Pagina dedicata ""consulenza aziendale Padova"", posizionamento su PMI locali",BASSA,https://fabbricadelvalore.com/consulenza-aziendale-padova/,seed-import
Servizi B2B/Consulenza,Formazione manageriale/aziendale,Formorienta,Padova,https://www.formorienta.it,n.d.,n.d.,n.d.,n.d.,n.d.,Centro di formazione manageriale e trasversale per aziende,BASSA,https://www.formorienta.it/formazione-manageriale-e-trasversale-padova/,seed-import
Servizi B2B/Consulenza,Studio di progettazione meccanica,Ingenium Pro Srl,Padova,https://www.ingeniumpro.it,n.d.,n.d.,n.d.,n.d.,n.d.,Progettazione meccanica per aziende manifatturiere,BASSA,https://www.ingeniumpro.it/en/,seed-import
Servizi B2B/Consulenza,Consulenza aziendale,Oriens Consulting,Padova,https://www.oriens.consulting,n.d.,n.d.,n.d.,n.d.,n.d.,Pagina dedicata a consulenza aziendale rivolta a imprese di Padova,BASSA,https://www.oriens.consulting/consulenza-aziendale-padova/,seed-import
Servizi B2B/Consulenza,Progettazione industriale / Engineering & Design,Spinips,Padova,https://www.spinips.com,n.d.,n.d.,n.d.,n.d.,n.d.,"Studio di progettazione industriale, engineering & design per aziende",BASSA,https://www.spinips.com/,seed-import
Servizi B2B/Consulenza,Consulenza del lavoro/HR,Studio Bustreo e Associati,Padova,https://www.bustreoeassociati.com,n.d.,n.d.,n.d.,n.d.,n.d.,"Cognome ""Bustreo"" presente in ragione sociale",BASSA,https://www.bustreoeassociati.com/,seed-import
Servizi B2B/Consulenza,Consulenza internazionalizzazione/rapporti con l'estero,Studio CSI,Padova,https://www.studio-csi.it,n.d.,n.d.,n.d.,n.d.,n.d.,Consulenze e servizi di intermediazione per rapporti con l'estero,BASSA,https://www.studio-csi.it/servizi-offerti-aree-di-attivita-competenze-consulenze/rapporti-con-nazioni-estere/,seed-import
Servizi B2B/Consulenza,Studio di ingegneria,TEV Studio Ingegneria,Padova,https://www.studiotev.com,n.d.,n.d.,n.d.,n.d.,n.d.,Studio di ingegneria con sito in italiano/inglese,BASSA,https://www.studiotev.com/en/,seed-import
Agroindustria,Macchine e attrezzature agricole (rivendita),Agrimacchine Polesana S.r.l.,Rovigo,www.agrimacchinepolesana.it,0425 34318,info@agrimacchinepolesana.it,n.d.,n.d.,n.d.,"Rete commerciale con area manager nominativi (Ugo Braga, Alessandro Martini), reparti distinti Segreteria/Service & After Sales/Ricambi/Marketing",ALTA,https://www.agrimacchinepolesana.it/contatti/,seed-import
Agroindustria,Distribuzione sementi e fertilizzanti,Carla Import Sementi Srl,Rovigo,www.carlasementi.it,0425 30014,info@carlasementi.it,n.d.,n.d.,n.d.,"Ricerca attiva ""collaboratori di commercio per zone libere"" (rete agenti in espansione), rappresentante esclusivo Italia di Strube dal 1998, distributore BASF",ALTA,https://www.carlasementi.it/contatti.php,seed-import
Agroindustria,Trasformazione alimentare (ingredienti vegetali),Naturis S.p.A.,Rovigo,www.naturis.com,0425 363111,info@naturis.com,Humberto Preve,CEO,https://it.linkedin.com/in/humberto-preve-119223,"Distribuzione B2B mondiale a società alimentari internazionali leader, più reparti (produzione, R\&D, commerciale) coordinati",ALTA,https://naturis.com/,seed-import
Agroindustria,Vivaismo/filiera orticola,Rovigo Vivai,Rovigo,www.rovigovivai.it,0426 334718,info@rovigovivai.it,Gian Paolo Casarotto,Titolare,n.d.,"Serve l'intera filiera B2B (organizzazioni produttori, cooperative, consorzi, industrie di trasformazione); oltre 75 milioni di piantine/anno",ALTA,https://www.rovigovivai.it/chi-siamo/,seed-import
Agroindustria,Distribuzione agricola/consorzio,Villa Nani Soc. Agr. Coop.,Rovigo,villanani.it,0425 714850,info@villanani.it,Damiano Giacometti,Presidente,n.d.,"Cooperativa con oltre 500 aziende associate/clienti B2B, rappresenta brand Bayer, Syngenta, Pioneer, Landini, Maschio; reparto amministrazione dedicato",ALTA,https://villanani.it/la-cooperativa/,seed-import
Chimico/Petrolchimico,Chimica cosmetica - produzione cosmetici bio/naturali anche conto terzi,Bema Cosmetici Srl,Rovigo,https://www.bemacosmetici.com,0425 396000,commerciale@bemacosmetici.it,n.d.,n.d.,n.d.,"Portale B2B dedicato, ricerca agenti/distributori",ALTA,https://www.bemacosmetici.com/it/,seed-import
Chimico/Petrolchimico,"Vernici, pitture e smalti chimici",Colorificio Farp Srl,Rovigo,https://www.colorificiofarp.it,\+39 0425 474218,n.d.,Previa Previa,Amministratore Delegato,https://www.linkedin.com/in/previa-previa-205a72165/,Rete di agenti di zona con partnership internazionali,ALTA,https://www.colorificiofarp.it/,seed-import
Chimico/Petrolchimico,Detergenti industriali e professionali,Eurodet Srl,Rovigo,https://www.eurodet.it,\+39 0425 405615,info@eurodet.it,Claudio Fornaro,Fondatore/Titolare,n.d.,Rete di distribuzione nazionale/internazionale tramite agenti,ALTA,https://www.eurodet.it/azienda/,seed-import
Edilizia/Materiali da Costruzione,Impresa di Costruzioni / Sviluppo Immobiliare,Costruzioni Milan S.r.l.,Rovigo,https://www.costruzionimilan.it,\+39 0425 97572,info@costruzionimilan.it,Fabrizio Milan,Fondatore/Titolare,n.d.,"Sezione ""Vendite"" dedicata sul sito, portafoglio multi-cantiere attivo in contemporanea",ALTA,https://www.costruzionimilan.it/azienda,seed-import
Edilizia/Materiali da Costruzione,General Contractor / Impiantistica,Guerrato S.p.A.,Rovigo,https://www.guerrato.it,\+39 0425 473111,info@guerrato.it,n.d.,n.d.,n.d.,"Azienda storica (1935), General Contractor con reparti Progettazione integrata, Facility Management, Project Financing",ALTA,https://www.guerrato.it/,seed-import
Edilizia/Materiali da Costruzione,Vernici e Colorifici Industriali B2B,Nuovo Colorificio Zagato S.r.l. (NCZ),Rovigo,https://ncz.it,\+39 0425 474022,info@ncz.it,n.d.,n.d.,n.d.,"Organigramma pubblicato con ruoli distinti (Direzione, Amministrazione, Commerciali)",ALTA,https://ncz.it/chi-siamo/,seed-import
Metalmeccanica,Componentistica di precisione (torneria/fresatura conto terzi),Effe Emme 96 S.r.l.,Rovigo,https://www.effeemme96.it/,0425 467177,info@effeemme96.it,n.d.,n.d.,n.d.,"Sito bilingue IT/EN (segnale export), sezioni dedicate ai settori clienti",ALTA,https://www.effeemme96.it/,seed-import
Metalmeccanica,Componentistica di precisione (lavorazioni CNC/torneria),VF Meccanica,Rovigo,https://vfmeccanica.it/,0425 444956,vf@vfmeccanica.it,n.d.,n.d.,n.d.,"Clienti di prestigio citati (es. Ducati), attività dal 1968",ALTA,https://vfmeccanica.it/,seed-import
Metalmeccanica,Impiantistica metalmeccanica (oil\&gas/petrolchimico),Welding Duebi S.r.l.,Rovigo,https://weldingduebi.com/,0425 741050,info@weldingduebi.com,n.d.,n.d.,n.d.,Realtà di rilievo nazionale nell'impiantistica per industria petrolchimica e oil\&gas,ALTA,https://weldingduebi.com/,seed-import
Servizi B2B/Trasporti,Corriere espresso (agenzia in franchising GLS),Rodigina Expres S.r.l.,Rovigo,n.d.,\+39 0425 35585,n.d.,n.d.,n.d.,n.d.,Agenzia locale del network corriere GLS,ALTA,https://www.paginebianche.it/scheda/rovigo/gls-general-logistics-systems-italy.849780,seed-import
Servizi B2B/Trasporti,Autotrasporto conto terzi (GDO/alimentare),Rovigo Trasporti S.r.l.,Rovigo,https://www.rovigotrasporti.it,\+39 0426 346730,info@rovigotrasporti.it,Grandi Giuseppe,Fondatore,n.d.,"Clientela GDO ricorrente, sezione ""lavora con noi"" attiva",ALTA,https://www.rovigotrasporti.it/contatti.php,seed-import
Agroindustria,Alimentare biologico/bevande vegetali,Abafoods S.r.l.,Rovigo,www.abafoods.com,0425 156 0900,n.d.,n.d.,n.d.,https://it.linkedin.com/company/abafoods,"Portfolio multi-brand (Isola Bio, Bjorg, Cupper, Whole Earth) distribuito B2B a GDO/retail, certificazione B-Corp",MEDIA,https://www.abafoods.com/contacts/,seed-import
Agroindustria,Distribuzione mezzi tecnici agricoli,Agricola Mengolin Snc,Rovigo,www.agricolamengolin.it,0426 337053,info@mengolin.it,Paolo Boscolo,Titolare,n.d.,"Punto di riferimento storico (dal 1958) per gli agricoltori locali, gamma ampia (macchine, sementi, mangimi, ricambi) con assistenza tecnica dedicata",MEDIA,https://www.agricolamengolin.it/,seed-import
Agroindustria,Trasformazione alimentare (quinta gamma),Ghisetti 1870 S.r.l.,Rovigo,www.ghisetti.it,0425 590684,info@ghisetti.it,n.d.,n.d.,https://it.linkedin.com/company/ghisetti1870,"Linea dedicata FoodService per ristorazione B2B, capitale sociale 2 mln€, più linee prodotto (Verdure Grigliate, PrestoPronti, ProntoMix)",MEDIA,https://www.ghisetti.it/,seed-import
Agroindustria,Distribuzione prodotti ittici,Rivamar S.r.l.,Rovigo,www.rivamar.it,0426 346588,info@rivamar.com,n.d.,n.d.,https://it.linkedin.com/company/rivamar-s-r-l-,"Rete di punti vendita/rivenditori sul territorio segnalata sul sito (""negozi in cui trovare i prodotti Rivamar"")",MEDIA,https://www.rivamar.it/contatti/,seed-import
Agroindustria,Stoccaggio e commercio cereali,Roana Cereali Snc,Rovigo,www.roanacereali.com,0425 939033,info@roanacereali.com,Cristina Roana,Titolare (da ragione sociale),n.d.,"Impianti industriali (silos, essiccazione, pressatura, tostatura) al servizio di aziende agricole e allevamenti conferenti su base ricorrente",MEDIA,https://www.roanacereali.com/it/contatti,seed-import
Chimico/Petrolchimico,"Coloranti industriali, additivi e derivati del petrolio",GiEmme Srl,Rovigo,n.d.,0425 476327,n.d.,n.d.,n.d.,n.d.,Fornitore B2B a clienti industriali del comparto chimico,MEDIA,https://www.paginegialle.it/veneto/rovigo/prodotti\_chimici.html,seed-import
Chimico/Petrolchimico,Gomma industriale/elastomeri - tubi flessibili in gomma,Semperflex Roiter Srl,Rovigo,www.roiter.it,0425 410680,n.d.,n.d.,n.d.,n.d.,"50-249 dipendenti, produzione industriale B2B",MEDIA,https://www.impresaitalia.info/ik02797066/semperflex-roiter-srl/rovigo.aspx,seed-import
Chimico/Petrolchimico,"Rivestimenti chimici industriali (silicone, fluoropolimeri, sol-gel)",Silicon-Tech Srl,Rovigo,https://www.silicon-tech.eu,0425 1520002,info@silicon-tech.eu,n.d.,n.d.,n.d.,Laboratorio interno con spettrometro XRF,MEDIA,https://www.silicon-tech.eu/it/chi-siamo,seed-import
Chimico/Petrolchimico,Reagenti e prodotti chimici per laboratorio e industria,Titolchimica S.p.A.,Rovigo,https://www.titolchimica.it,\+39 0425 492644,n.d.,n.d.,n.d.,n.d.,"Azienda industriale dal 1981, formulazioni chimiche custom",MEDIA,https://www.titolchimica.it/it/chi-siamo,seed-import
Edilizia/Materiali da Costruzione,Laterizi e Prefabbricati,B.C.M. Laterizi S.r.l.,Rovigo,https://www.bcmlaterizi.com,\+39 0425 754134,bcmlaterizi@gmail.com,n.d.,n.d.,n.d.,"Produzione e commercializzazione B2B di solai, pannelli, tegole",MEDIA,https://www.bcmlaterizi.com/chi-siamo,seed-import
Edilizia/Materiali da Costruzione,Legname e Strutture in Legno per Edilizia,Cuccato Legno S.r.l.,Rovigo,https://cuccatolegno.it,\+39 0425 490776,info@cuccatolegno.it,n.d.,n.d.,n.d.,Ampio catalogo B2B per imprese edili e rivenditori,MEDIA,https://cuccatolegno.it/contatti,seed-import
Edilizia/Materiali da Costruzione,Materiali Edili e Noleggio Attrezzature,Edil Market S.r.l.,Rovigo,https://www.edilmarket-srl.it,\+39 351 6875669,edil.marketsrl@virgilio.it,n.d.,n.d.,n.d.,Vendita e noleggio materiale/attrezzatura edile,MEDIA,https://www.paginegialle.it/veneto/rovigo/materiali\_edili.html,seed-import
Edilizia/Materiali da Costruzione,Noleggio Attrezzature e Macchine Edili,Edil Padana Noleggi,Rovigo,https://edilpadananoleggi.com,\+39 0425 601933,info@edilpadananoleggi.com,n.d.,n.d.,n.d.,Ampio parco noleggio per cantieri edili,MEDIA,https://edilpadananoleggi.com/,seed-import
Edilizia/Materiali da Costruzione,"Materiali Edili, Noleggio e Assistenza Cantiere",Eurotre S.r.l.,Rovigo,https://www.eurotreedilizia.com,\+39 0425 35717,info@eurotreedilizia.it,n.d.,n.d.,n.d.,"Attività multi-servizio (vendita, noleggio, assistenza in cantiere)",MEDIA,https://www.eurotreedilizia.com/contatti,seed-import
Edilizia/Materiali da Costruzione,Prefabbricati in Cemento,Prefabbricati Albertin Fabrizio e Diego,Rovigo,https://www.albertinprefabbricati.com,\+39 0425 421939,albertin@aruba.it,Fabrizio Albertin e Diego Albertin,Titolari,n.d.,Produzione box e capannoni prefabbricati per clientela B2B,MEDIA,https://www.albertinprefabbricati.com/,seed-import
Metalmeccanica,Carpenteria metallica/prefabbricati in acciaio,Bedendo Prefabbricati,Rovigo,https://bedendoprefabbricati.eu/,0425 591102,info@bedendoprefabbricati.eu,n.d.,n.d.,n.d.,"Reparti distinti con mail dedicate (amministrazione, preventivi, tecnico)",MEDIA,https://bedendoprefabbricati.eu/carpenteria-metallica/,seed-import
Metalmeccanica,Carpenteria metallica,CM S.r.l. Carpenteria,Rovigo,https://cmsrl-carpenteria.it/,0425 444157,info@cmsrl-carpenteria.it,Antonio Culatti,Titolare,n.d.,Azienda di seconda generazione (27 anni di attività),MEDIA,https://cmsrl-carpenteria.it/,seed-import
Metalmeccanica,Meccanica di precisione/assemblaggio meccanico,Global-Mec S.r.l.,Rovigo,https://www.global-mec.com/,0425 659820,info@global-mec.com,n.d.,n.d.,n.d.,Blog tecnico attivo su meccanica di precisione e manutenzione industriale,MEDIA,https://www.global-mec.com/servizi/,seed-import
Metalmeccanica,Componentistica per veicoli (impianti frenanti/idraulici motociclistici),Grimeca S.p.A.,Rovigo,n.d.,\+39 0425 476000,n.d.,n.d.,n.d.,n.d.,Forma societaria S.p.A. con 7 linee telefoniche distinte,MEDIA,https://www.paginebianche.it/scheda/ceregnano/grimeca.13369071,seed-import
Metalmeccanica,Carpenteria metallica/saldatura industriale,Welding Professional S.r.l.,Rovigo,https://weldingprofessional.it/,\+39 392 4100655,weldingprofessionalsrl@gmail.com,n.d.,n.d.,n.d.,"Più linee di servizio coordinate (saldatura, satinature/lucidature, arredo in acciaio)",MEDIA,https://weldingprofessional.it/,seed-import
Servizi B2B/Trasporti,Consorzio/cooperativa di autotrasportatori,C.A.A.P. Soc. Coop,Rovigo,n.d.,\+39 0425 475155,n.d.,n.d.,n.d.,n.d.,Cooperativa con 2 recapiti telefonici pubblicati,MEDIA,https://www.paginebianche.it/scheda/rovigo/c-a-a-p-soc-coop.4101320,seed-import
Servizi B2B/Trasporti,Autotrasporto conto terzi,Casarolli Trasporti S.r.l.,Rovigo,n.d.,\+39 0425 1880592,n.d.,n.d.,n.d.,n.d.,Gruppo con più entità collegate,MEDIA,https://www.paginebianche.it/scheda/villamarzana/casarolli-trasporti-s-r-l\_21662523,seed-import
Servizi B2B/Trasporti,Autotrasporto conto terzi,Centro Servizi Trasporti S.r.l.,Rovigo,n.d.,\+39 0425 33562,n.d.,n.d.,n.d.,n.d.,3 recapiti telefonici distinti pubblicati,MEDIA,https://www.paginebianche.it/scheda/rovigo/centro-servizi-trasporti.494726,seed-import
Servizi B2B/Trasporti,Magazzinaggio e logistica industriale conto terzi (cooperativa),Consorzio Veneto Servizi Integrati Società Cooperativa,Rovigo,n.d.,\+39 0425 465065,n.d.,n.d.,n.d.,n.d.,Cooperativa di servizi logistici/magazzinaggio conto terzi,MEDIA,https://www.paginebianche.it/scheda/valmolin/consorzio-veneto-servizi-integrati.12775616,seed-import
